sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
10006;BME280;5042;42.626;23.382;2020-06-10T07:00:35;93988.97;;;20.54;80.25
10006;BME280;5042;42.626;23.382;2020-06-10T07:03:20;93993.84;;;20.62;78.89
10006;BME280;5042;42.626;23.382;2020-06-10T07:05:59;93990.97;;;20.74;78.16
10006;BME280;5042;42.626;23.382;2020-06-10T07:08:46;93988.63;;;20.93;79.87
10006;BME280;5042;42.626;23.382;2020-06-10T07:11:21;93986.50;;;21.15;76.47
10006;BME280;5042;42.626;23.382;2020-06-10T07:14:06;93982.25;;;21.35;77.06
10006;BME280;5042;42.626;23.382;2020-06-10T07:17:00;93974.31;;;21.45;76.44
10006;BME280;5042;42.626;23.382;2020-06-10T07:19:44;93981.50;;;21.70;74.54
10006;BME280;5042;42.626;23.382;2020-06-10T07:22:22;93979.37;;;21.62;73.17
10006;BME280;5042;42.626;23.382;2020-06-10T07:25:04;93976.44;;;21.74;71.06
10006;BME280;5042;42.626;23.382;2020-06-10T07:27:45;93978.00;;;21.80;72.15
10006;BME280;5042;42.626;23.382;2020-06-10T07:30:41;93979.59;;;22.01;70.74
10006;BME280;5042;42.626;23.382;2020-06-10T07:33:28;93982.53;;;22.05;68.87
10006;BME280;5042;42.626;23.382;2020-06-10T07:36:20;93981.47;;;22.01;69.61
10006;BME280;5042;42.626;23.382;2020-06-10T07:38:58;93974.22;;;22.27;69.26
10006;BME280;5042;42.626;23.382;2020-06-10T07:41:35;93980.06;;;22.34;67.39
10006;BME280;5042;42.626;23.382;2020-06-10T07:44:25;93981.09;;;22.49;67.11
10006;BME280;5042;42.626;23.382;2020-06-10T07:47:18;93984.41;;;22.80;67.69
10006;BME280;5042;42.626;23.382;2020-06-10T07:50:05;93989.44;;;23.02;64.50
10006;BME280;5042;42.626;23.382;2020-06-10T07:52:50;93986.22;;;22.95;62.92
